subject,verb,object,time,amount,mask
User 05176,cancelled,laptop,2024-02-02,4962,"[1, 1, 1, 1, 1]"
User 15918,paid,book,2022-08-13,2289,"[1, 1, 1, 1, 1]"
User 73683,returned,service,2024-09-10,-3400,"[1, 1, 1, 1, 1]"
User 93834,bought,product,2024-12-09,4681,"[1, 1, 1, 1, 1]"
User 78526,bought,accessory,2023-03-01,1469,"[1, 1, 1, 1, 1]"
User 54777,cancelled,product,2023-01-25,1287,"[1, 1, 1, 1, 1]"
User 59986,paid,service,2022-05-14,3556,"[1, 1, 1, 1, 1]"
User 49757,sold,laptop,[PAD],-1,"[1, 1, 1, 0, 0]"
User 73544,bought,product,2025-06-04,1910,"[1, 1, 1, 1, 1]"
User 28478,ordered,laptop,2025-11-09,-1,"[1, 1, 1, 1, 0]"
User 43290,bought,laptop,2022-11-09,2801,"[1, 1, 1, 1, 1]"
User 85143,cancelled,book,[PAD],4237,"[1, 1, 1, 0, 1]"
User 01354,ordered,product,[PAD],549,"[1, 1, 1, 0, 1]"
User 88255,cancelled,accessory,2022-04-01,4608,"[1, 1, 1, 1, 1]"
User 58456,bought,book,2022-09-05,1749,"[1, 1, 1, 1, 1]"
User 06882,paid,phone,2022-07-06,4594,"[1, 1, 1, 1, 1]"
User 22199,ordered,service,2023-11-03,4042,"[1, 1, 1, 1, 1]"
User 43490,sold,phone,[PAD],-1,"[1, 1, 1, 0, 0]"
User 12415,cancelled,laptop,[PAD],-1,"[1, 1, 1, 0, 0]"
User 52920,cancelled,laptop,2025-09-02,3851,"[1, 1, 1, 1, 1]"
User 46542,cancelled,service,2023-05-18,651,"[1, 1, 1, 1, 1]"
User 33116,paid,laptop,2024-02-13,-1,"[1, 1, 1, 1, 0]"
User 22427,paid,phone,[PAD],2922,"[1, 1, 1, 0, 1]"
User 60278,bought,service,2023-12-06,842,"[1, 1, 1, 1, 1]"
User 52127,bought,laptop,2025-07-21,3885,"[1, 1, 1, 1, 1]"
User 29237,sold,product,2024-11-25,423,"[1, 1, 1, 1, 1]"
User 68134,ordered,service,2023-10-24,4732,"[1, 1, 1, 1, 1]"
User 50455,ordered,accessory,2023-07-30,1895,"[1, 1, 1, 1, 1]"
User 69473,ordered,accessory,2024-04-06,-1,"[1, 1, 1, 1, 0]"
User 30511,cancelled,laptop,2025-06-29,-1,"[1, 1, 1, 1, 0]"
User 88753,returned,laptop,2024-04-19,-2896,"[1, 1, 1, 1, 1]"
User 30383,cancelled,laptop,2023-07-26,2092,"[1, 1, 1, 1, 1]"
User 94751,ordered,accessory,[PAD],273,"[1, 1, 1, 0, 1]"
User 13903,returned,book,2024-11-06,-148,"[1, 1, 1, 1, 1]"
User 64131,bought,laptop,2024-04-18,3462,"[1, 1, 1, 1, 1]"
User 90624,cancelled,phone,2025-08-12,1395,"[1, 1, 1, 1, 1]"
User 26795,returned,service,2022-08-25,-1565,"[1, 1, 1, 1, 1]"
User 66943,sold,accessory,2023-07-01,2491,"[1, 1, 1, 1, 1]"
User 88053,returned,phone,2023-07-11,-2628,"[1, 1, 1, 1, 1]"
User 67566,cancelled,product,2024-11-08,1203,"[1, 1, 1, 1, 1]"
User 42259,bought,accessory,2024-01-19,1300,"[1, 1, 1, 1, 1]"
User 17596,sold,accessory,[PAD],-1,"[1, 1, 1, 0, 0]"
User 78465,ordered,service,2023-11-27,-1,"[1, 1, 1, 1, 0]"
User 86541,bought,phone,2022-09-07,3225,"[1, 1, 1, 1, 1]"
User 82856,returned,laptop,[PAD],-3358,"[1, 1, 1, 0, 1]"
User 85623,bought,accessory,[PAD],4118,"[1, 1, 1, 0, 1]"
User 08575,returned,phone,2023-11-19,-716,"[1, 1, 1, 1, 1]"
User 04687,bought,laptop,2024-12-14,4213,"[1, 1, 1, 1, 1]"
User 96844,ordered,book,[PAD],-1,"[1, 1, 1, 0, 0]"
User 25100,ordered,phone,2022-08-22,1102,"[1, 1, 1, 1, 1]"
User 28896,sold,book,[PAD],607,"[1, 1, 1, 0, 1]"
User 13261,cancelled,product,2023-01-17,3173,"[1, 1, 1, 1, 1]"
User 13025,paid,phone,2023-10-15,4762,"[1, 1, 1, 1, 1]"
User 42039,paid,laptop,2024-10-07,1715,"[1, 1, 1, 1, 1]"
User 47760,returned,service,2023-11-14,-758,"[1, 1, 1, 1, 1]"
User 30567,sold,service,2023-02-18,902,"[1, 1, 1, 1, 1]"
User 49431,returned,accessory,2023-01-18,-2260,"[1, 1, 1, 1, 1]"
User 33986,paid,laptop,[PAD],-1,"[1, 1, 1, 0, 0]"
User 04379,ordered,service,2022-10-11,2276,"[1, 1, 1, 1, 1]"
User 37059,paid,phone,[PAD],-1,"[1, 1, 1, 0, 0]"
User 69990,returned,service,2022-02-02,-1,"[1, 1, 1, 1, 0]"
User 01664,sold,phone,2023-11-23,112,"[1, 1, 1, 1, 1]"
User 99697,bought,service,2022-12-06,2988,"[1, 1, 1, 1, 1]"
User 78648,paid,product,2025-07-14,-1,"[1, 1, 1, 1, 0]"
User 46269,cancelled,phone,2025-08-17,4725,"[1, 1, 1, 1, 1]"
User 84712,sold,book,2022-10-15,816,"[1, 1, 1, 1, 1]"
User 41773,paid,accessory,2025-06-20,-1,"[1, 1, 1, 1, 0]"
User 45101,bought,laptop,2022-10-25,972,"[1, 1, 1, 1, 1]"
User 32161,returned,laptop,2024-08-06,-2523,"[1, 1, 1, 1, 1]"
User 78718,ordered,laptop,2023-05-04,-1,"[1, 1, 1, 1, 0]"
User 41827,returned,accessory,2023-03-12,-2511,"[1, 1, 1, 1, 1]"
User 60604,ordered,book,2022-09-02,-1,"[1, 1, 1, 1, 0]"
User 75911,cancelled,phone,2022-05-03,3164,"[1, 1, 1, 1, 1]"
User 40689,cancelled,book,2022-11-19,-1,"[1, 1, 1, 1, 0]"
User 61220,ordered,accessory,2024-04-03,-1,"[1, 1, 1, 1, 0]"
User 66497,sold,phone,2025-11-12,-1,"[1, 1, 1, 1, 0]"
User 09506,paid,phone,2023-06-06,4515,"[1, 1, 1, 1, 1]"
User 19411,cancelled,accessory,[PAD],478,"[1, 1, 1, 0, 1]"
User 59259,cancelled,product,2025-11-25,4085,"[1, 1, 1, 1, 1]"
User 40819,ordered,accessory,2024-12-25,4874,"[1, 1, 1, 1, 1]"
User 51865,ordered,product,[PAD],3866,"[1, 1, 1, 0, 1]"
User 94310,paid,product,2023-11-03,3291,"[1, 1, 1, 1, 1]"
User 02592,bought,phone,2024-07-18,1309,"[1, 1, 1, 1, 1]"
User 48742,sold,phone,2023-11-21,-1,"[1, 1, 1, 1, 0]"
User 31413,returned,phone,2022-04-12,-745,"[1, 1, 1, 1, 1]"
User 76841,returned,product,2025-07-01,-1,"[1, 1, 1, 1, 0]"
User 02705,bought,accessory,[PAD],-1,"[1, 1, 1, 0, 0]"
User 47970,ordered,laptop,2022-03-24,4114,"[1, 1, 1, 1, 1]"
User 72472,sold,phone,2024-01-24,465,"[1, 1, 1, 1, 1]"
User 94216,sold,accessory,2023-11-04,2385,"[1, 1, 1, 1, 1]"
User 08963,ordered,service,2023-01-28,-1,"[1, 1, 1, 1, 0]"
User 08166,ordered,phone,2023-04-01,485,"[1, 1, 1, 1, 1]"
User 80976,ordered,laptop,2023-08-26,2373,"[1, 1, 1, 1, 1]"
User 04637,ordered,book,2023-10-15,-1,"[1, 1, 1, 1, 0]"
User 13377,bought,product,2022-06-16,3830,"[1, 1, 1, 1, 1]"
User 56452,ordered,phone,2023-12-29,2821,"[1, 1, 1, 1, 1]"
User 89996,paid,product,2025-10-29,1435,"[1, 1, 1, 1, 1]"
User 42694,bought,phone,2024-03-13,3722,"[1, 1, 1, 1, 1]"
User 92697,ordered,accessory,2022-04-18,2517,"[1, 1, 1, 1, 1]"
User 91014,bought,book,2025-06-04,387,"[1, 1, 1, 1, 1]"
User 44095,paid,service,2024-08-25,-1,"[1, 1, 1, 1, 0]"
User 57533,sold,laptop,[PAD],-1,"[1, 1, 1, 0, 0]"
User 41768,sold,phone,2022-11-27,-1,"[1, 1, 1, 1, 0]"
User 17506,ordered,book,[PAD],3598,"[1, 1, 1, 0, 1]"
User 55596,paid,book,2023-12-02,2357,"[1, 1, 1, 1, 1]"
User 76857,ordered,product,2024-05-28,-1,"[1, 1, 1, 1, 0]"
User 62790,paid,product,2023-06-22,3493,"[1, 1, 1, 1, 1]"
User 44715,cancelled,phone,[PAD],4729,"[1, 1, 1, 0, 1]"
User 86806,paid,accessory,2025-07-10,1231,"[1, 1, 1, 1, 1]"
User 14724,returned,accessory,2025-11-04,-1,"[1, 1, 1, 1, 0]"
User 32441,returned,product,2025-11-20,-1,"[1, 1, 1, 1, 0]"
User 14690,paid,accessory,[PAD],1705,"[1, 1, 1, 0, 1]"
User 89677,paid,book,2022-10-15,-1,"[1, 1, 1, 1, 0]"
User 77525,sold,accessory,2023-05-14,1854,"[1, 1, 1, 1, 1]"
User 85157,ordered,service,2025-11-07,-1,"[1, 1, 1, 1, 0]"
User 43485,bought,accessory,[PAD],247,"[1, 1, 1, 0, 1]"
User 19512,cancelled,laptop,2024-01-23,4797,"[1, 1, 1, 1, 1]"
User 02337,ordered,book,2024-07-05,1355,"[1, 1, 1, 1, 1]"
User 34647,ordered,laptop,2023-09-16,4509,"[1, 1, 1, 1, 1]"
User 49670,paid,service,2022-09-25,4483,"[1, 1, 1, 1, 1]"
User 51811,ordered,service,2024-12-17,2297,"[1, 1, 1, 1, 1]"
User 49875,paid,product,2023-11-01,-1,"[1, 1, 1, 1, 0]"
User 53795,bought,accessory,2025-09-29,3191,"[1, 1, 1, 1, 1]"
User 80033,ordered,phone,2022-08-14,-1,"[1, 1, 1, 1, 0]"
User 56606,ordered,product,2022-09-07,-1,"[1, 1, 1, 1, 0]"
User 74957,sold,service,2023-11-12,-1,"[1, 1, 1, 1, 0]"
User 30730,returned,phone,2022-08-24,-2032,"[1, 1, 1, 1, 1]"
User 74655,returned,product,2024-03-11,-4070,"[1, 1, 1, 1, 1]"
User 15161,ordered,book,[PAD],2890,"[1, 1, 1, 0, 1]"
User 24952,bought,book,2025-09-04,2833,"[1, 1, 1, 1, 1]"
User 70141,cancelled,phone,[PAD],-1,"[1, 1, 1, 0, 0]"
User 88635,sold,book,[PAD],-1,"[1, 1, 1, 0, 0]"
User 14836,paid,laptop,2022-10-19,-1,"[1, 1, 1, 1, 0]"
User 86224,paid,product,2024-04-19,1767,"[1, 1, 1, 1, 1]"
User 94694,cancelled,product,2024-01-02,3105,"[1, 1, 1, 1, 1]"
User 62618,sold,book,2023-01-18,2214,"[1, 1, 1, 1, 1]"
User 88867,sold,service,2025-10-21,642,"[1, 1, 1, 1, 1]"
User 90484,sold,accessory,2023-12-08,866,"[1, 1, 1, 1, 1]"
User 75425,bought,service,2023-12-16,-1,"[1, 1, 1, 1, 0]"
User 85007,returned,laptop,[PAD],-2868,"[1, 1, 1, 0, 1]"
User 28585,paid,product,[PAD],3190,"[1, 1, 1, 0, 1]"
User 79357,cancelled,phone,2024-02-23,4399,"[1, 1, 1, 1, 1]"
User 74331,sold,phone,2022-05-20,3210,"[1, 1, 1, 1, 1]"
User 86157,sold,accessory,2024-03-09,-1,"[1, 1, 1, 1, 0]"
User 98114,returned,product,2024-01-07,-1166,"[1, 1, 1, 1, 1]"
User 05865,ordered,laptop,2024-10-17,-1,"[1, 1, 1, 1, 0]"
User 98680,paid,laptop,[PAD],-1,"[1, 1, 1, 0, 0]"
User 93495,bought,laptop,2024-10-10,3599,"[1, 1, 1, 1, 1]"
User 54299,sold,laptop,2025-09-11,1794,"[1, 1, 1, 1, 1]"
User 20825,returned,service,2022-11-29,-1,"[1, 1, 1, 1, 0]"
User 89329,sold,book,2025-10-27,3289,"[1, 1, 1, 1, 1]"
User 74039,bought,book,2022-08-28,4364,"[1, 1, 1, 1, 1]"
User 56626,cancelled,product,2024-11-23,4998,"[1, 1, 1, 1, 1]"
User 07404,ordered,service,2024-08-15,3984,"[1, 1, 1, 1, 1]"
User 64593,bought,accessory,[PAD],-1,"[1, 1, 1, 0, 0]"
User 93220,ordered,book,2022-08-06,210,"[1, 1, 1, 1, 1]"
User 82542,returned,service,2023-08-04,-1,"[1, 1, 1, 1, 0]"
User 37537,sold,accessory,2024-05-08,4222,"[1, 1, 1, 1, 1]"
User 32641,bought,phone,2023-01-26,-1,"[1, 1, 1, 1, 0]"
User 29253,bought,phone,2025-07-28,2712,"[1, 1, 1, 1, 1]"
User 47518,paid,book,[PAD],1821,"[1, 1, 1, 0, 1]"
User 53659,sold,service,[PAD],-1,"[1, 1, 1, 0, 0]"
User 29015,returned,phone,2024-09-16,-1,"[1, 1, 1, 1, 0]"
User 58509,sold,laptop,2022-09-21,-1,"[1, 1, 1, 1, 0]"
User 97313,ordered,service,2022-08-20,-1,"[1, 1, 1, 1, 0]"
User 91004,bought,laptop,2023-08-27,-1,"[1, 1, 1, 1, 0]"
User 77394,paid,product,2025-06-23,1379,"[1, 1, 1, 1, 1]"
User 76128,paid,book,[PAD],1867,"[1, 1, 1, 0, 1]"
User 64526,cancelled,service,2022-03-14,395,"[1, 1, 1, 1, 1]"
User 59713,ordered,service,2022-07-14,2076,"[1, 1, 1, 1, 1]"
User 96003,paid,book,2023-07-07,-1,"[1, 1, 1, 1, 0]"
User 90975,bought,accessory,2024-10-17,-1,"[1, 1, 1, 1, 0]"
User 67007,returned,service,2023-01-04,-1078,"[1, 1, 1, 1, 1]"
User 11197,paid,phone,2025-07-18,4608,"[1, 1, 1, 1, 1]"
User 45330,ordered,phone,[PAD],4645,"[1, 1, 1, 0, 1]"
User 66891,sold,product,[PAD],1851,"[1, 1, 1, 0, 1]"
User 39684,sold,phone,[PAD],-1,"[1, 1, 1, 0, 0]"
User 56249,cancelled,product,2022-03-10,3936,"[1, 1, 1, 1, 1]"
User 18558,bought,product,2022-04-12,-1,"[1, 1, 1, 1, 0]"
User 28522,sold,accessory,2022-02-20,2857,"[1, 1, 1, 1, 1]"
User 80809,bought,book,2023-12-25,2982,"[1, 1, 1, 1, 1]"
User 96351,returned,book,2024-01-14,-2948,"[1, 1, 1, 1, 1]"
User 84201,ordered,book,2025-10-19,1857,"[1, 1, 1, 1, 1]"
User 78326,sold,laptop,2023-01-26,2568,"[1, 1, 1, 1, 1]"
User 58475,ordered,phone,2023-03-17,2679,"[1, 1, 1, 1, 1]"
User 30252,ordered,product,2024-12-27,1831,"[1, 1, 1, 1, 1]"
User 57541,cancelled,book,2022-12-12,4766,"[1, 1, 1, 1, 1]"
User 22206,returned,service,2022-03-09,-4928,"[1, 1, 1, 1, 1]"
User 32622,paid,product,2022-07-12,-1,"[1, 1, 1, 1, 0]"
User 01748,returned,book,2023-07-11,-3931,"[1, 1, 1, 1, 1]"
User 56459,returned,service,[PAD],-4293,"[1, 1, 1, 0, 1]"
User 93064,bought,product,2023-05-13,2385,"[1, 1, 1, 1, 1]"
User 06578,paid,product,2022-04-13,2470,"[1, 1, 1, 1, 1]"
User 15663,ordered,accessory,2022-12-22,3527,"[1, 1, 1, 1, 1]"
User 93948,sold,service,2023-07-02,4988,"[1, 1, 1, 1, 1]"
User 82028,bought,phone,2022-06-14,2067,"[1, 1, 1, 1, 1]"
User 67141,paid,book,2024-02-08,1497,"[1, 1, 1, 1, 1]"
User 39353,returned,book,[PAD],-1,"[1, 1, 1, 0, 0]"
User 92728,ordered,product,[PAD],4457,"[1, 1, 1, 0, 1]"
User 52399,sold,phone,2024-05-12,4115,"[1, 1, 1, 1, 1]"
User 74392,ordered,phone,[PAD],4133,"[1, 1, 1, 0, 1]"
User 46586,cancelled,laptop,2025-03-27,174,"[1, 1, 1, 1, 1]"
User 36702,returned,laptop,2022-06-27,-4634,"[1, 1, 1, 1, 1]"
User 53769,cancelled,product,[PAD],370,"[1, 1, 1, 0, 1]"
User 45425,returned,book,2023-11-26,-4809,"[1, 1, 1, 1, 1]"
User 85031,cancelled,accessory,2023-12-08,4121,"[1, 1, 1, 1, 1]"
User 86764,bought,book,2023-11-25,-1,"[1, 1, 1, 1, 0]"
User 41477,cancelled,book,2023-03-24,4978,"[1, 1, 1, 1, 1]"
User 36041,bought,laptop,2022-03-29,4010,"[1, 1, 1, 1, 1]"
User 25620,sold,product,2024-01-07,-1,"[1, 1, 1, 1, 0]"
User 52817,returned,phone,2024-08-04,-4483,"[1, 1, 1, 1, 1]"
User 09692,ordered,service,[PAD],2949,"[1, 1, 1, 0, 1]"
User 70226,cancelled,book,2024-09-07,865,"[1, 1, 1, 1, 1]"
User 21237,bought,product,2025-03-06,1077,"[1, 1, 1, 1, 1]"
User 36619,ordered,service,2024-04-23,-1,"[1, 1, 1, 1, 0]"
User 90001,bought,phone,2023-03-16,1682,"[1, 1, 1, 1, 1]"
User 31017,cancelled,service,2025-12-16,3884,"[1, 1, 1, 1, 1]"
User 36548,cancelled,phone,2023-06-06,-1,"[1, 1, 1, 1, 0]"
User 44929,bought,accessory,2025-01-31,3891,"[1, 1, 1, 1, 1]"
User 36933,sold,laptop,2022-07-22,3879,"[1, 1, 1, 1, 1]"
User 54838,returned,product,[PAD],-4003,"[1, 1, 1, 0, 1]"
User 72114,ordered,accessory,2022-08-12,2119,"[1, 1, 1, 1, 1]"
User 31563,returned,product,[PAD],-1,"[1, 1, 1, 0, 0]"
User 91839,cancelled,laptop,2025-10-19,1656,"[1, 1, 1, 1, 1]"
User 86875,paid,phone,[PAD],2834,"[1, 1, 1, 0, 1]"
User 80718,paid,accessory,[PAD],4093,"[1, 1, 1, 0, 1]"
User 70961,cancelled,accessory,2024-11-04,1915,"[1, 1, 1, 1, 1]"
User 75653,cancelled,service,2025-09-17,2027,"[1, 1, 1, 1, 1]"
User 90424,cancelled,service,2022-01-11,134,"[1, 1, 1, 1, 1]"
User 09258,ordered,phone,2024-04-16,3193,"[1, 1, 1, 1, 1]"
User 87600,sold,service,2022-06-29,326,"[1, 1, 1, 1, 1]"
User 37786,bought,book,2022-04-07,4213,"[1, 1, 1, 1, 1]"
User 99987,bought,service,[PAD],4939,"[1, 1, 1, 0, 1]"
User 98542,paid,product,2023-05-28,1900,"[1, 1, 1, 1, 1]"
User 45112,returned,accessory,2024-09-30,-848,"[1, 1, 1, 1, 1]"
User 14947,paid,product,2022-06-13,-1,"[1, 1, 1, 1, 0]"
User 16358,ordered,product,2024-07-02,-1,"[1, 1, 1, 1, 0]"
User 68400,ordered,accessory,2023-12-01,3420,"[1, 1, 1, 1, 1]"
User 87120,bought,book,2024-08-14,-1,"[1, 1, 1, 1, 0]"
User 24184,bought,accessory,2022-06-16,-1,"[1, 1, 1, 1, 0]"
User 30410,bought,phone,2024-05-09,4061,"[1, 1, 1, 1, 1]"
User 45666,paid,book,2024-01-18,2602,"[1, 1, 1, 1, 1]"
User 20116,bought,product,2025-09-23,3635,"[1, 1, 1, 1, 1]"
User 86795,paid,accessory,2023-01-20,4480,"[1, 1, 1, 1, 1]"
User 29165,paid,laptop,2024-12-14,1148,"[1, 1, 1, 1, 1]"
User 38670,ordered,phone,2025-07-23,-1,"[1, 1, 1, 1, 0]"
User 54705,cancelled,book,2024-01-01,1490,"[1, 1, 1, 1, 1]"
User 15350,cancelled,accessory,2022-08-23,192,"[1, 1, 1, 1, 1]"
User 79503,returned,book,2022-07-09,-2990,"[1, 1, 1, 1, 1]"
User 78539,bought,accessory,[PAD],3978,"[1, 1, 1, 0, 1]"
User 05228,returned,book,[PAD],-2021,"[1, 1, 1, 0, 1]"
User 76838,ordered,accessory,2023-08-23,1636,"[1, 1, 1, 1, 1]"
User 94976,returned,phone,2022-05-04,-3854,"[1, 1, 1, 1, 1]"
User 35495,returned,accessory,2025-08-16,-1764,"[1, 1, 1, 1, 1]"
User 75188,bought,product,2023-04-06,1921,"[1, 1, 1, 1, 1]"
User 81653,cancelled,accessory,2023-05-18,771,"[1, 1, 1, 1, 1]"
User 93769,bought,laptop,2024-06-02,4448,"[1, 1, 1, 1, 1]"
User 16454,returned,phone,2024-09-21,-1,"[1, 1, 1, 1, 0]"
User 16307,sold,product,[PAD],1384,"[1, 1, 1, 0, 1]"
User 17458,sold,service,2023-02-09,1485,"[1, 1, 1, 1, 1]"
User 34626,paid,book,[PAD],1659,"[1, 1, 1, 0, 1]"
User 72958,returned,laptop,[PAD],-1974,"[1, 1, 1, 0, 1]"
User 95631,ordered,laptop,[PAD],1138,"[1, 1, 1, 0, 1]"
User 68054,ordered,service,[PAD],2472,"[1, 1, 1, 0, 1]"
User 80372,returned,phone,[PAD],-2925,"[1, 1, 1, 0, 1]"
User 35131,sold,accessory,2022-03-15,738,"[1, 1, 1, 1, 1]"
User 37437,bought,laptop,2022-06-03,4137,"[1, 1, 1, 1, 1]"
User 86038,ordered,phone,2023-02-10,610,"[1, 1, 1, 1, 1]"
User 17875,ordered,service,2024-03-02,-1,"[1, 1, 1, 1, 0]"
User 99563,paid,phone,2023-02-12,1821,"[1, 1, 1, 1, 1]"
User 47770,ordered,laptop,2022-03-05,121,"[1, 1, 1, 1, 1]"
User 63148,returned,service,2022-08-04,-2866,"[1, 1, 1, 1, 1]"
User 79131,cancelled,service,[PAD],4085,"[1, 1, 1, 0, 1]"
User 77612,paid,phone,[PAD],1268,"[1, 1, 1, 0, 1]"
User 33901,returned,product,2022-08-08,-1,"[1, 1, 1, 1, 0]"
User 82015,ordered,laptop,2025-12-26,2991,"[1, 1, 1, 1, 1]"
User 04828,bought,product,2023-09-21,3183,"[1, 1, 1, 1, 1]"
User 73517,cancelled,accessory,2023-01-21,3225,"[1, 1, 1, 1, 1]"
User 76846,bought,phone,2025-04-20,655,"[1, 1, 1, 1, 1]"
User 29486,paid,product,2023-01-16,2450,"[1, 1, 1, 1, 1]"
User 85693,cancelled,accessory,2022-10-09,2684,"[1, 1, 1, 1, 1]"
User 47057,ordered,phone,2023-08-08,1538,"[1, 1, 1, 1, 1]"
User 11666,bought,product,[PAD],3734,"[1, 1, 1, 0, 1]"
User 87443,cancelled,product,2024-10-22,2673,"[1, 1, 1, 1, 1]"
User 08281,bought,laptop,2024-09-06,3974,"[1, 1, 1, 1, 1]"
User 72021,sold,product,2024-01-14,4903,"[1, 1, 1, 1, 1]"
User 58815,ordered,accessory,2022-12-30,3473,"[1, 1, 1, 1, 1]"
User 89710,bought,product,2022-04-24,4556,"[1, 1, 1, 1, 1]"
User 93352,returned,product,[PAD],-2052,"[1, 1, 1, 0, 1]"
User 11129,cancelled,accessory,2024-08-27,3461,"[1, 1, 1, 1, 1]"
User 57258,sold,phone,[PAD],3728,"[1, 1, 1, 0, 1]"
User 57782,ordered,accessory,2024-10-17,-1,"[1, 1, 1, 1, 0]"
User 22637,sold,service,2025-05-24,-1,"[1, 1, 1, 1, 0]"
User 42774,ordered,accessory,2025-05-07,-1,"[1, 1, 1, 1, 0]"
User 97110,returned,laptop,2022-12-01,-2116,"[1, 1, 1, 1, 1]"
User 56327,paid,product,2022-07-21,4682,"[1, 1, 1, 1, 1]"
User 26554,cancelled,book,2025-11-10,3270,"[1, 1, 1, 1, 1]"
User 71658,ordered,laptop,2024-02-19,3842,"[1, 1, 1, 1, 1]"
User 39253,paid,laptop,2023-12-17,198,"[1, 1, 1, 1, 1]"
User 54335,bought,product,2023-01-05,2794,"[1, 1, 1, 1, 1]"
User 24703,bought,book,2025-12-15,-1,"[1, 1, 1, 1, 0]"
User 86381,returned,service,2025-05-15,-4774,"[1, 1, 1, 1, 1]"
User 09229,cancelled,phone,2023-08-07,1847,"[1, 1, 1, 1, 1]"
User 87491,returned,laptop,2023-05-08,-2038,"[1, 1, 1, 1, 1]"
User 87658,cancelled,service,[PAD],-1,"[1, 1, 1, 0, 0]"
User 46120,sold,phone,2023-11-09,1153,"[1, 1, 1, 1, 1]"
User 93799,cancelled,laptop,[PAD],-1,"[1, 1, 1, 0, 0]"
User 67606,cancelled,book,2025-12-14,-1,"[1, 1, 1, 1, 0]"
User 41006,cancelled,service,2025-01-30,1478,"[1, 1, 1, 1, 1]"
User 17289,paid,product,2025-11-14,3943,"[1, 1, 1, 1, 1]"
User 29445,returned,service,2025-01-06,-3189,"[1, 1, 1, 1, 1]"
User 58741,ordered,accessory,[PAD],4898,"[1, 1, 1, 0, 1]"
User 78489,returned,book,[PAD],-2587,"[1, 1, 1, 0, 1]"
User 82105,sold,phone,2022-04-06,4777,"[1, 1, 1, 1, 1]"
User 94899,ordered,book,[PAD],4928,"[1, 1, 1, 0, 1]"
User 58636,returned,book,2022-04-05,-1,"[1, 1, 1, 1, 0]"
User 91634,bought,laptop,2022-11-09,2434,"[1, 1, 1, 1, 1]"
User 82637,bought,product,[PAD],4589,"[1, 1, 1, 0, 1]"
User 39084,ordered,book,2022-11-19,-1,"[1, 1, 1, 1, 0]"
User 49868,ordered,laptop,2023-04-10,791,"[1, 1, 1, 1, 1]"
User 49573,bought,service,2023-11-10,4118,"[1, 1, 1, 1, 1]"
User 26524,sold,accessory,2023-09-06,-1,"[1, 1, 1, 1, 0]"
User 70290,returned,phone,2022-09-09,-1253,"[1, 1, 1, 1, 1]"
User 81758,paid,laptop,2023-03-02,2146,"[1, 1, 1, 1, 1]"
User 59702,sold,phone,[PAD],3203,"[1, 1, 1, 0, 1]"
User 85936,ordered,book,2022-02-14,4556,"[1, 1, 1, 1, 1]"
User 58531,cancelled,book,[PAD],-1,"[1, 1, 1, 0, 0]"
User 38548,returned,book,2023-12-24,-3663,"[1, 1, 1, 1, 1]"
User 07397,ordered,laptop,2022-11-04,2198,"[1, 1, 1, 1, 1]"
User 95442,paid,book,2025-01-21,-1,"[1, 1, 1, 1, 0]"
User 65638,ordered,service,2023-01-18,4102,"[1, 1, 1, 1, 1]"
User 78545,cancelled,service,[PAD],-1,"[1, 1, 1, 0, 0]"
User 12341,cancelled,accessory,2024-01-27,2015,"[1, 1, 1, 1, 1]"
User 49067,returned,accessory,2022-05-03,-1,"[1, 1, 1, 1, 0]"
User 90236,returned,phone,2023-04-21,-4295,"[1, 1, 1, 1, 1]"
User 35198,returned,product,2025-10-15,-3168,"[1, 1, 1, 1, 1]"
User 49717,paid,book,2023-08-07,1873,"[1, 1, 1, 1, 1]"
User 41386,bought,laptop,2022-10-15,4617,"[1, 1, 1, 1, 1]"
User 12409,cancelled,product,2025-07-18,304,"[1, 1, 1, 1, 1]"
User 52839,paid,service,2025-02-03,-1,"[1, 1, 1, 1, 0]"
User 51821,bought,product,[PAD],654,"[1, 1, 1, 0, 1]"
User 15304,bought,service,[PAD],-1,"[1, 1, 1, 0, 0]"
User 05708,paid,product,2022-09-25,2986,"[1, 1, 1, 1, 1]"
User 21559,returned,product,[PAD],-3206,"[1, 1, 1, 0, 1]"
User 95847,paid,phone,2022-11-28,1548,"[1, 1, 1, 1, 1]"
User 43742,bought,product,2022-05-30,1791,"[1, 1, 1, 1, 1]"
User 24703,returned,book,2024-06-28,-2724,"[1, 1, 1, 1, 1]"
User 56627,paid,service,2024-06-16,521,"[1, 1, 1, 1, 1]"
User 99999,paid,product,2023-11-21,-1,"[1, 1, 1, 1, 0]"
User 31219,paid,service,[PAD],-1,"[1, 1, 1, 0, 0]"
User 03589,cancelled,accessory,2024-09-07,-1,"[1, 1, 1, 1, 0]"
User 19954,bought,product,[PAD],4093,"[1, 1, 1, 0, 1]"
User 30339,paid,book,2022-12-15,906,"[1, 1, 1, 1, 1]"
User 83236,bought,accessory,2022-02-23,1337,"[1, 1, 1, 1, 1]"
User 18187,returned,service,[PAD],-4112,"[1, 1, 1, 0, 1]"
User 63452,bought,accessory,2022-07-05,-1,"[1, 1, 1, 1, 0]"
User 49582,sold,service,2024-01-26,2794,"[1, 1, 1, 1, 1]"
User 82150,returned,phone,2024-04-07,-477,"[1, 1, 1, 1, 1]"
User 37877,sold,accessory,2023-07-24,-1,"[1, 1, 1, 1, 0]"
